id,subject,body,label
1,Kazandınız!,Tebrikler! 1.000.000 TL kazandınız. Hemen tıklayın: http://spam.com,1
2,Toplantı Hatırlatma,Yarın saat 10:00’da Zoom üzerinden toplantımız var.,0
3,Reklam: Yeni indirim,%50'ye varan indirimler! Kaçırmayın!,1
4,Project Update,Attached is the latest version of the report.,0
5,Hemen Tıklayın,Hesabınız tehlikede! Giriş yapmak için buraya tıklayın: http://fakebank.com,1
6,Fatura Bilgilendirmesi,2025 Nisan ayı faturanızı ekte bulabilirsiniz.,0
7,Earn money fast,Make $5000 per week from home. Click now!,1
8,Ders Programı,Yeni dönem ders programınızı görüntülemek için sisteme giriş yapınız.,0
9,Get rich quick,Investment opportunity you can’t miss.,1
10,Yönetici toplantısı,Bugün saat 14:00'te yönetim kurulu toplantısı yapılacaktır.,0
